timestamp,electricity_demand_mw,temperature_f,humidity_percent,precipitation_inch,wind_speed_mph,wind_direction_deg,cloud_cover_percent,surface_pressure_hpa,solar_radiation_wm2,direct_radiation_wm2,hour,day_of_week,month,day_of_year,is_weekend,season,heat_index_f,wind_chill_f
2025-01-01 00:00:00,942.85,52.7,20,0.0,5.4,274,12,888.6,0.0,0.0,0,2,1,1,0,Winter,52.7,52.7
2025-01-01 01:00:00,913.64,51.3,21,0.0,4.6,273,4,888.1,0.0,0.0,1,2,1,1,0,Winter,51.3,51.3
2025-01-01 02:00:00,949.79,50.0,21,0.0,5.0,290,0,887.9,0.0,0.0,2,2,1,1,0,Winter,50.0,48.2
2025-01-01 03:00:00,990.06,47.7,23,0.0,4.6,313,0,888.3,0.0,0.0,3,2,1,1,0,Winter,47.7,45.8
2025-01-01 04:00:00,909.23,44.1,26,0.0,2.5,315,14,887.9,0.0,0.0,4,2,1,1,0,Winter,44.1,44.1
2025-01-01 05:00:00,909.23,43.0,28,0.0,3.7,308,28,887.7,0.0,0.0,5,2,1,1,0,Winter,43.0,41.1
2025-01-01 06:00:00,1044.43,41.5,30,0.0,2.9,309,10,887.6,0.0,0.0,6,2,1,1,0,Winter,41.5,41.5
2025-01-01 07:00:00,1005.14,40.9,29,0.0,1.0,27,28,889.2,0.0,0.0,7,2,1,1,0,Winter,40.9,40.9
2025-01-01 08:00:00,945.28,39.6,30,0.0,0.9,76,98,890.2,0.0,0.0,8,2,1,1,0,Winter,39.6,39.6
2025-01-01 09:00:00,994.26,41.4,27,0.0,2.3,360,99,891.4,44.0,20.0,9,2,1,1,0,Winter,41.4,41.4
2025-01-01 10:00:00,945.57,47.7,20,0.0,3.7,339,100,893.2,203.0,120.0,10,2,1,1,0,Winter,47.7,46.5
2025-01-01 11:00:00,945.46,52.3,17,0.0,2.6,34,100,894.6,370.0,250.0,11,2,1,1,0,Winter,52.3,52.3
2025-01-01 12:00:00,979.71,55.8,15,0.0,2.8,47,100,894.7,495.0,340.0,12,2,1,1,0,Winter,55.8,55.8
2025-01-01 13:00:00,875.4,58.4,13,0.0,2.2,69,100,894.1,572.0,406.0,13,2,1,1,0,Winter,58.4,58.4
2025-01-01 14:00:00,950.3,60.4,12,0.0,1.6,102,52,893.2,611.0,494.0,14,2,1,1,0,Winter,60.4,60.4
2025-01-01 15:00:00,1010.76,62.0,11,0.0,1.1,114,2,892.7,564.0,473.0,15,2,1,1,0,Winter,62.0,62.0
2025-01-01 16:00:00,987.33,62.7,11,0.0,0.7,90,0,892.3,449.0,375.0,16,2,1,1,0,Winter,62.7,62.7
2025-01-01 17:00:00,1056.34,62.2,11,0.0,0.9,90,0,892.2,280.0,220.0,17,2,1,1,0,Winter,62.2,62.2
2025-01-01 18:00:00,992.78,58.5,15,0.0,1.1,90,0,891.7,94.0,62.0,18,2,1,1,0,Winter,58.5,58.5
2025-01-01 19:00:00,966.56,57.1,17,0.0,0.2,360,0,891.5,1.0,0.0,19,2,1,1,0,Winter,57.1,57.1
2025-01-01 20:00:00,1116.21,54.8,18,0.0,0.6,292,0,891.6,0.0,0.0,20,2,1,1,0,Winter,54.8,54.8
2025-01-01 21:00:00,957.07,52.7,20,0.0,1.1,246,0,891.4,0.0,0.0,21,2,1,1,0,Winter,52.7,52.7
2025-01-01 22:00:00,971.27,51.3,21,0.0,1.0,264,0,891.3,0.0,0.0,22,2,1,1,0,Winter,51.3,51.3
2025-01-01 23:00:00,899.04,50.0,22,0.0,1.1,252,0,891.2,0.0,0.0,23,2,1,1,0,Winter,50.0,50.0
2025-01-02 00:00:00,894.96,48.4,23,0.0,0.7,288,0,891.0,0.0,0.0,0,3,1,2,0,Winter,48.4,48.4
2025-01-02 01:00:00,925.1,45.6,25,0.0,1.3,322,0,890.2,0.0,0.0,1,3,1,2,0,Winter,45.6,45.6
2025-01-02 02:00:00,867.05,43.4,27,0.0,1.6,330,0,889.9,0.0,0.0,2,3,1,2,0,Winter,43.4,43.4
2025-01-02 03:00:00,937.28,41.4,29,0.0,1.5,318,0,889.7,0.0,0.0,3,3,1,2,0,Winter,41.4,41.4
2025-01-02 04:00:00,892.37,40.2,30,0.0,2.0,322,0,889.7,0.0,0.0,4,3,1,2,0,Winter,40.2,40.2
