timestamp,electricity_demand_mw,temperature_f,humidity_percent,precipitation_inch,wind_speed_mph,wind_direction_deg,cloud_cover_percent,surface_pressure_hpa,solar_radiation_wm2,direct_radiation_wm2,hour,day_of_week,month,day_of_year,is_weekend,season,heat_index_f,wind_chill_f
2017-01-01 00:00:00,801.42,43.5,88,0.0,5.0,283,21,883.2,0.0,0.0,0,6,1,1,1,Winter,43.5,40.6
2017-01-01 01:00:00,776.59,42.0,90,0.0,4.7,270,13,882.8,0.0,0.0,1,6,1,1,1,Winter,42.0,39.0
2017-01-01 02:00:00,807.32,40.8,92,0.0,5.5,249,24,882.8,0.0,0.0,2,6,1,1,1,Winter,40.8,37.0
2017-01-01 03:00:00,841.55,40.6,93,0.0,5.2,260,18,882.7,0.0,0.0,3,6,1,1,1,Winter,40.6,37.0
2017-01-01 04:00:00,772.84,39.6,94,0.0,5.0,278,25,882.0,0.0,0.0,4,6,1,1,1,Winter,39.6,36.0
2017-01-01 05:00:00,772.85,39.4,94,0.0,4.4,294,11,881.4,0.0,0.0,5,6,1,1,1,Winter,39.4,36.3
2017-01-01 06:00:00,887.77,41.3,89,0.0,3.4,281,24,881.3,0.0,0.0,6,6,1,1,1,Winter,41.3,39.4
2017-01-01 07:00:00,854.37,43.8,85,0.0,1.4,342,32,882.1,0.0,0.0,7,6,1,1,1,Winter,43.8,43.8
2017-01-01 08:00:00,803.49,40.6,92,0.0,2.6,110,37,881.7,0.0,0.0,8,6,1,1,1,Winter,40.6,40.6
2017-01-01 09:00:00,845.12,42.3,92,0.0,1.9,111,68,881.8,34.0,17.0,9,6,1,1,1,Winter,42.3,42.3
2017-01-01 10:00:00,803.73,45.7,86,0.0,2.9,90,100,882.5,130.0,61.0,10,6,1,1,1,Winter,45.7,45.7
2017-01-01 11:00:00,803.64,47.7,82,0.0,3.5,75,44,882.5,136.0,25.0,11,6,1,1,1,Winter,47.7,46.6
2017-01-01 12:00:00,832.75,51.7,75,0.0,4.7,95,25,882.2,353.0,225.0,12,6,1,1,1,Winter,51.7,51.7
2017-01-01 13:00:00,744.09,56.4,67,0.0,3.9,121,33,881.5,525.0,415.0,13,6,1,1,1,Winter,56.4,56.4
2017-01-01 14:00:00,807.76,58.7,56,0.0,8.4,236,66,880.6,519.0,403.0,14,6,1,1,1,Winter,58.7,58.7
2017-01-01 15:00:00,859.15,58.0,58,0.0,5.4,253,79,879.7,375.0,263.0,15,6,1,1,1,Winter,58.0,58.0
2017-01-01 16:00:00,839.23,58.0,58,0.0,10.7,190,87,879.4,274.0,81.0,16,6,1,1,1,Winter,58.0,58.0
2017-01-01 17:00:00,897.89,49.6,79,0.016,13.4,298,100,880.4,154.0,57.0,17,6,1,1,1,Winter,49.6,44.5
2017-01-01 18:00:00,843.87,49.4,82,0.004,6.5,292,100,880.3,38.0,3.0,18,6,1,1,1,Winter,49.4,46.7
2017-01-01 19:00:00,821.58,47.6,87,0.0,5.4,315,64,880.9,0.0,0.0,19,6,1,1,1,Winter,47.6,45.2
2017-01-01 20:00:00,948.78,42.9,95,0.0,4.6,299,45,881.0,0.0,0.0,20,6,1,1,1,Winter,42.9,40.2
2017-01-01 21:00:00,813.51,40.6,97,0.0,4.0,270,31,881.7,0.0,0.0,21,6,1,1,1,Winter,40.6,38.0
2017-01-01 22:00:00,825.58,44.1,90,0.0,9.0,251,4,882.8,0.0,0.0,22,6,1,1,1,Winter,44.1,39.1
2017-01-01 23:00:00,764.19,42.5,82,0.0,14.2,251,62,883.8,0.0,0.0,23,6,1,1,1,Winter,42.5,35.3
2017-01-02 00:00:00,894.96,42.6,83,0.0,15.4,257,22,884.8,0.0,0.0,0,0,1,2,0,Winter,42.6,35.1
2017-01-02 01:00:00,925.1,41.9,80,0.0,16.7,258,11,885.2,0.0,0.0,1,0,1,2,0,Winter,41.9,33.8
2017-01-02 02:00:00,867.05,40.5,79,0.0,15.9,259,4,885.6,0.0,0.0,2,0,1,2,0,Winter,40.5,32.2
2017-01-02 03:00:00,937.28,39.6,79,0.0,12.8,263,9,885.8,0.0,0.0,3,0,1,2,0,Winter,39.6,32.1
2017-01-02 04:00:00,892.37,38.4,81,0.0,11.9,266,45,886.3,0.0,0.0,4,0,1,2,0,Winter,38.4,30.9
2017-01-02 05:00:00,906.58,37.4,81,0.0,11.0,275,3,886.7,0.0,0.0,5,0,1,2,0,Winter,37.4,30.0
2017-01-02 06:00:00,938.88,37.6,81,0.0,8.1,275,1,886.3,0.0,0.0,6,0,1,2,0,Winter,37.6,31.6
2017-01-02 07:00:00,1057.65,36.8,82,0.0,7.9,280,1,887.2,0.0,0.0,7,0,1,2,0,Winter,36.8,30.7
2017-01-02 08:00:00,967.35,35.9,84,0.0,7.4,284,27,887.7,0.0,0.0,8,0,1,2,0,Winter,35.9,29.9
2017-01-02 09:00:00,916.81,37.7,80,0.0,6.8,281,83,889.0,44.0,23.0,9,0,1,2,0,Winter,37.7,32.5
2017-01-02 10:00:00,1007.81,40.9,74,0.0,7.1,283,47,889.8,197.0,114.0,10,0,1,2,0,Winter,40.9,36.2
2017-01-02 11:00:00,908.91,44.0,69,0.0,8.9,280,41,890.3,368.0,255.0,11,0,1,2,0,Winter,44.0,39.1
2017-01-02 12:00:00,978.11,47.4,62,0.0,9.6,273,18,889.6,531.0,444.0,12,0,1,2,0,Winter,47.4,43.0
2017-01-02 13:00:00,873.15,49.5,57,0.0,10.8,274,0,888.9,604.0,505.0,13,0,1,2,0,Winter,49.5,45.2
2017-01-02 14:00:00,970.93,51.0,54,0.0,11.9,275,16,888.2,619.0,528.0,14,0,1,2,0,Winter,51.0,51.0
2017-01-02 15:00:00,1050.24,52.2,54,0.0,12.4,275,24,887.8,562.0,474.0,15,0,1,2,0,Winter,52.2,52.2
2017-01-02 16:00:00,1078.4,53.0,52,0.0,11.6,271,14,887.7,444.0,365.0,16,0,1,2,0,Winter,53.0,53.0
2017-01-02 17:00:00,1048.91,52.8,52,0.0,10.3,269,45,888.1,278.0,213.0,17,0,1,2,0,Winter,52.8,52.8
2017-01-02 18:00:00,1033.99,49.5,65,0.0,6.6,260,50,887.9,95.0,61.0,18,0,1,2,0,Winter,49.5,46.8
2017-01-02 19:00:00,1024.34,46.5,71,0.0,5.8,272,74,887.8,1.0,0.0,19,0,1,2,0,Winter,46.5,43.6
2017-01-02 20:00:00,963.12,44.6,75,0.0,5.8,286,95,887.6,0.0,0.0,20,0,1,2,0,Winter,44.6,41.4
2017-01-02 21:00:00,933.16,43.7,77,0.0,7.4,290,93,888.1,0.0,0.0,21,0,1,2,0,Winter,43.7,39.4
2017-01-02 22:00:00,945.71,42.1,79,0.0,6.4,290,94,888.0,0.0,0.0,22,0,1,2,0,Winter,42.1,38.0
2017-01-02 23:00:00,1019.16,41.4,78,0.0,7.3,288,87,888.3,0.0,0.0,23,0,1,2,0,Winter,41.4,36.7
2017-01-03 00:00:00,935.81,40.5,79,0.0,6.5,270,90,888.1,0.0,0.0,0,1,1,3,0,Winter,40.5,36.0
2017-01-03 01:00:00,838.9,39.9,80,0.0,5.9,277,94,887.7,0.0,0.0,1,1,1,3,0,Winter,39.9,35.7
2017-01-03 02:00:00,934.91,41.2,78,0.0,6.6,282,93,888.5,0.0,0.0,2,1,1,3,0,Winter,41.2,36.8
2017-01-03 03:00:00,902.29,39.2,80,0.0,6.5,276,89,887.9,0.0,0.0,3,1,1,3,0,Winter,39.2,34.5
2017-01-03 04:00:00,888.86,37.5,83,0.0,5.9,279,91,887.1,0.0,0.0,4,1,1,3,0,Winter,37.5,32.9
2017-01-03 05:00:00,948.14,36.6,83,0.0,6.0,285,87,886.6,0.0,0.0,5,1,1,3,0,Winter,36.6,31.7
2017-01-03 06:00:00,1017.9,36.0,86,0.0,6.0,301,89,887.3,0.0,0.0,6,1,1,3,0,Winter,36.0,31.0
2017-01-03 07:00:00,1013.07,35.2,85,0.0,5.5,325,82,888.5,0.0,0.0,7,1,1,3,0,Winter,35.2,30.4
2017-01-03 08:00:00,927.38,34.2,87,0.0,4.7,301,87,889.0,0.0,0.0,8,1,1,3,0,Winter,34.2,29.9
2017-01-03 09:00:00,953.03,37.4,83,0.0,4.6,293,84,890.2,44.0,25.0,9,1,1,3,0,Winter,37.4,33.8
2017-01-03 10:00:00,984.03,42.3,75,0.0,3.4,281,86,891.8,213.0,154.0,10,1,1,3,0,Winter,42.3,40.5
2017-01-03 11:00:00,1015.22,47.3,67,0.0,2.8,256,80,893.0,370.0,268.0,11,1,1,3,0,Winter,47.3,47.3
2017-01-03 12:00:00,944.81,51.8,59,0.0,4.5,243,56,892.6,517.0,422.0,12,1,1,3,0,Winter,51.8,51.8
2017-01-03 13:00:00,959.01,54.5,52,0.0,6.2,251,64,892.1,596.0,505.0,13,1,1,3,0,Winter,54.5,54.5
2017-01-03 14:00:00,982.47,55.9,49,0.0,8.4,253,46,891.3,606.0,514.0,14,1,1,3,0,Winter,55.9,55.9
2017-01-03 15:00:00,977.8,56.5,48,0.0,8.7,258,77,891.0,551.0,463.0,15,1,1,3,0,Winter,56.5,56.5
2017-01-03 16:00:00,1082.25,56.6,46,0.0,8.4,262,89,890.7,435.0,354.0,16,1,1,3,0,Winter,56.6,56.6
2017-01-03 17:00:00,1110.52,55.8,48,0.0,6.7,266,90,890.4,270.0,199.0,17,1,1,3,0,Winter,55.8,55.8
2017-01-03 18:00:00,1036.26,51.5,69,0.0,4.4,255,92,889.5,88.0,46.0,18,1,1,3,0,Winter,51.5,51.5
2017-01-03 19:00:00,1092.18,50.4,64,0.0,3.0,257,67,889.6,1.0,0.0,19,1,1,3,0,Winter,50.4,50.4
2017-01-03 20:00:00,1058.81,47.8,70,0.0,3.2,282,35,889.5,0.0,0.0,20,1,1,3,0,Winter,47.8,47.0
2017-01-03 21:00:00,936.78,45.7,76,0.0,3.6,317,47,888.4,0.0,0.0,21,1,1,3,0,Winter,45.7,44.2
2017-01-03 22:00:00,985.49,44.4,77,0.0,3.8,315,86,888.0,0.0,0.0,22,1,1,3,0,Winter,44.4,42.6
2017-01-03 23:00:00,1042.44,45.9,77,0.0,3.1,270,100,888.9,0.0,0.0,23,1,1,3,0,Winter,45.9,44.9
2017-01-04 00:00:00,918.35,49.2,62,0.0,1.4,198,100,889.5,0.0,0.0,0,2,1,4,0,Winter,49.2,49.2
2017-01-04 01:00:00,991.97,47.8,68,0.0,2.1,221,95,889.2,0.0,0.0,1,2,1,4,0,Winter,47.8,47.8
2017-01-04 02:00:00,799.49,48.5,64,0.0,1.2,248,98,889.3,0.0,0.0,2,2,1,4,0,Winter,48.5,48.5
2017-01-04 03:00:00,957.81,46.0,74,0.0,2.4,319,98,888.6,0.0,0.0,3,2,1,4,0,Winter,46.0,46.0
2017-01-04 04:00:00,924.0,45.6,78,0.0,4.0,333,100,888.6,0.0,0.0,4,2,1,4,0,Winter,45.6,43.8
2017-01-04 05:00:00,906.25,45.5,81,0.0,3.5,305,100,888.5,0.0,0.0,5,2,1,4,0,Winter,45.5,44.1
2017-01-04 06:00:00,972.44,46.2,77,0.0,4.6,317,99,888.5,0.0,0.0,6,2,1,4,0,Winter,46.2,44.0
2017-01-04 07:00:00,871.8,46.6,80,0.0,3.6,300,100,888.7,0.0,0.0,7,2,1,4,0,Winter,46.6,45.3
2017-01-04 08:00:00,957.37,46.7,81,0.0,3.6,274,75,888.8,0.0,0.0,8,2,1,4,0,Winter,46.7,45.4
2017-01-04 09:00:00,985.28,47.2,78,0.0,3.1,270,2,888.5,25.0,5.0,9,2,1,4,0,Winter,47.2,46.4
2017-01-04 10:00:00,1039.53,50.8,66,0.0,2.0,264,0,889.6,210.0,155.0,10,2,1,4,0,Winter,50.8,50.8
2017-01-04 11:00:00,942.92,55.0,55,0.0,3.4,238,40,890.4,386.0,313.0,11,2,1,4,0,Winter,55.0,55.0
2017-01-04 12:00:00,928.87,58.4,50,0.0,7.3,247,3,890.1,518.0,430.0,12,2,1,4,0,Winter,58.4,58.4
2017-01-04 13:00:00,943.71,60.2,46,0.0,9.7,261,0,889.7,596.0,503.0,13,2,1,4,0,Winter,60.2,60.2
2017-01-04 14:00:00,1087.6,61.3,45,0.0,10.5,270,0,888.8,612.0,523.0,14,2,1,4,0,Winter,61.3,61.3
2017-01-04 15:00:00,1057.1,62.0,45,0.0,12.4,275,0,888.4,558.0,473.0,15,2,1,4,0,Winter,62.0,62.0
2017-01-04 16:00:00,1012.45,61.7,48,0.0,11.7,267,0,887.6,444.0,367.0,16,2,1,4,0,Winter,61.7,61.7
2017-01-04 17:00:00,1066.69,61.1,50,0.0,9.8,258,0,886.5,282.0,220.0,17,2,1,4,0,Winter,61.1,61.1
2017-01-04 18:00:00,1045.05,58.6,54,0.0,8.6,261,0,885.5,100.0,66.0,18,2,1,4,0,Winter,58.6,58.6
2017-01-04 19:00:00,1090.37,55.8,59,0.0,9.2,274,1,885.4,2.0,0.0,19,2,1,4,0,Winter,55.8,55.8
2017-01-04 20:00:00,1003.49,53.6,60,0.0,10.1,274,68,885.1,0.0,0.0,20,2,1,4,0,Winter,53.6,53.6
2017-01-04 21:00:00,952.14,51.8,61,0.0,10.5,286,89,885.0,0.0,0.0,21,2,1,4,0,Winter,51.8,51.8
2017-01-04 22:00:00,949.02,49.9,62,0.0,9.4,282,91,884.9,0.0,0.0,22,2,1,4,0,Winter,49.9,46.1
2017-01-04 23:00:00,897.17,47.0,71,0.0,6.2,296,62,884.7,0.0,0.0,23,2,1,4,0,Winter,47.0,44.0
2017-01-05 00:00:00,933.62,44.0,79,0.0,4.1,283,37,884.1,0.0,0.0,0,3,1,5,0,Winter,44.0,41.9
2017-01-05 01:00:00,932.01,43.8,78,0.0,6.4,282,34,884.0,0.0,0.0,1,3,1,5,0,Winter,43.8,40.0
